user_id,hour_of_day,month_id,watch_date,day_of_week,day_name,day_classification,month_name,Tv_Channel,watch_time,duration,UserID,Region,age,age_groups,email_flag,social_media_flag,Race,gender
821893,10,201602,2016-02-25,56,Thu,weekday,Feb,Supersport Live Events,10:09:00,00:28:50,821893,Gauteng,33,Youth,1,1,white,male
821893,10,201602,2016-02-25,56,Thu,weekday,Feb,SawSee,10:45:00,00:01:18,821893,Gauteng,33,Youth,1,1,white,male
821893,18,201602,2016-02-25,56,Thu,weekday,Feb,Supersport Live Events,18:14:00,00:02:22,821893,Gauteng,33,Youth,1,1,white,male
821893,7,201603,2016-03-25,85,Fri,weekday,Mar,Trace TV,07:28:00,00:00:42,821893,Gauteng,33,Youth,1,1,white,male
773014,15,201603,2016-03-14,74,Mon,weekday,Mar,Trace TV,15:26:00,00:03:09,773014,Gauteng,19,Teenager,1,1,black,male
773014,19,201603,2016-03-11,71,Fri,weekday,Mar,Channel O,19:50:00,00:01:12,773014,Gauteng,19,Teenager,1,1,black,male
773014,20,201603,2016-03-12,72,Sat,weekend,Mar,Vuzu,20:18:00,00:01:04,773014,Gauteng,19,Teenager,1,1,black,male
773014,15,201603,2016-03-09,69,Wed,weekday,Mar,Trace TV,15:46:00,00:00:39,773014,Gauteng,19,Teenager,1,1,black,male
773014,15,201603,2016-03-10,70,Thu,weekday,Mar,Channel O,15:11:00,00:10:57,773014,Gauteng,19,Teenager,1,1,black,male
879990,13,201603,2016-03-18,78,Fri,weekday,Mar,ICC Cricket World Cup 2011,13:55:00,00:09:32,879990,Limpopo,35,Youth,1,1,indian_asian,male
773016,8,201602,2016-02-05,36,Fri,weekday,Feb,Channel O,08:16:00,00:03:27,773016,Free State,45,Adult,1,1,black,male
773016,19,201602,2016-02-16,47,Tue,weekday,Feb,Trace TV,19:31:00,00:02:03,773016,Free State,45,Adult,1,1,black,male
773016,6,201602,2016-02-04,35,Thu,weekday,Feb,CNN,06:28:00,00:22:15,773016,Free State,45,Adult,1,1,black,male
870195,16,201603,2016-03-05,65,Sat,weekend,Mar,Supersport Live Events,16:51:00,01:07:42,870195,Gauteng,37,Adult,1,1,white,male
803047,6,201603,2016-03-19,79,Sat,weekend,Mar,Supersport Live Events,06:04:00,00:07:50,803047,Uncategorized,0,Infants,1,1,None,None
803047,19,201603,2016-03-23,83,Wed,weekday,Mar,Cartoon Network,19:48:00,00:06:31,803047,Uncategorized,0,Infants,1,1,None,None
803047,16,201603,2016-03-20,80,Sun,weekend,Mar,Supersport Live Events,16:18:00,00:00:00,803047,Uncategorized,0,Infants,1,1,None,None
803047,12,201603,2016-03-20,80,Sun,weekend,Mar,ICC Cricket World Cup 2011,12:19:00,01:52:46,803047,Uncategorized,0,Infants,1,1,None,None
